Name,Mate,Degree,Description,Continuity,Combo,Type
Ill-Omened,Jinx,Major,"When your group starts its next fight, its margin before anyone tests Fighting is -2, not the usual 0.
Discard when your group loses a fight.",,,Shock
Bad Place,Awful Place,Minor,Counts as a Shock card only when you are in the place where you got it.,,,Shock
Awful Place,Bad Place,Major,"-1 to Presence.
Discard if, while in the awful place, you find a core clue or make a Push.",,,Shock
Rueful,Self-Reproachful,Minor,"If the murderer is still at large or unidentified at the end of a session, lose 2 Composure.
Trade for “Self-Reproachful” if you have 0 Composure in your pool at end of scenario.",,,Shock
Self-Reproachful,Rueful,Major,"You can’t refresh Composure in mid-scenario.
If the murderer is found to be human, discard this card by bringing the murderer to justice.
If the murderer is inhuman, discard by killing the murderer.",Continuity,,Shock
Skewed Reality,Reality Horror,Minor,"-1 to Focus.
When you get information from a GMC other PCs are reluctant to speak with, roll a die. Even: discard. Odd: give this Shock card to another player.",,,Shock
Reality Horror,Skewed Reality,Major,"-1 to Focus.
At the end of a scene in which you take the lead in gaining a core clue from a GMC, roll a die. Even: discard. Odd: give this Shock card to another player.",,,Shock
Rattled,A Diverting Indiscretion Will Put This In Perspective,Both,Your next test takes a -1 penalty. Then discard.,,,Shock
A Diverting Indiscretion Will Put This In Perspective,Rattled,Major,"-1 to Presence. 
Discard by taking a risk to indulge a vice.",,,Shock
Racing Pulse,Rampant Distrust,Minor,Lose 1 Health each time you attempt a Physical test. Discard after your next Physical success.,,,Shock
Rampant Distrust,Racing Pulse,Major,-1 to Composure against mental hazards. Discard by making a false alarm that creates a risk for any player character.,,,Shock
More Things In Heaven and Earth,Anyone Could Be Secretly Dead,Minor,"When testing Composure due to a supernatural event, you get a +2 bonus when your die roll is even, and a -2 penalty when odd. 
Discard when you succeed at such a test.",,,Shock
Anyone Could Be Secretly Dead,More Things In Heaven and Earth,Major,"You can’t make Interpersonal Pushes.
Discard when your check to see if someone really has a material form causes you to pay a price.",,,Shock
Cause for Concern,Time to Panic,Minor,Discard when another PC makes a successful test.,,,Shock
Time to Panic,Cause for Concern,Major,"-1 to Focus.
Make a tick mark whenever another PC succeeds at a test. Start over on any failure. Discard when you have three tick marks.",,,Shock
The Shudders,Shaken,Minor,"Roll a die; lose that number of Composure points, noting the number lost. If your Composure is already 0, trade for “An Image Seared in the Mind.”
Discard after a night’s sleep. When you discard, roll a die. Even: regain those lost Composure points.",,,Shock
Shaken,The Shudders,Major,-1 to Composure.,,,Shock
Hardened,Dead-Eyed Stare,Minor,"When you make a ruthless choice that saves a life, spend 3 Composure to discard.",Continuity,,Shock
Dead-Eyed Stare,Hardened,Major,"Once per session, you may make a free Intimidation Push. All PCs lose 2 Composure.
When you make a ruthless choice that saves a life, roll a die. Even: trade for “Hardened.”",Continuity,,Shock
Superstition,Magical Thinking ,Minor,"-1 to Focus.
Discard by taking a risk to avoid bad luck.",,,Shock
Magical Thinking ,Superstition,Major,"Roll a die when receiving this card. Odd: you can only make even-numbered point spends. Even: you can only make odd-numbered spends.
Discard when an apparently supernatural event has a logical explanation.",,,Shock
Appalled,A Dish Served Cold,Minor,"-1 to Composure. 
Discard by bringing justice to the torturer.",,,Shock
A Dish Served Cold,Appalled,Major,"-1 to Composure. 
Discard, and refresh your Composure pool, by playing a role in the torturer’s demise. ",,,Shock
The Price of Failure,A Morbid Scene,Minor,"You can’t spend Improvement points.
Discard by pursuing a lead the team first learned of more than an hour ago (table time.)",Continuity,,Shock
A Morbid Scene,The Price of Failure,Major,"You can’t spend Improvement points. Lose 1 Health after any failed test.
Discard by pursuing a lead the team first learned of more than two hours ago (table time.)",Continuity,,Shock
Whisper of the Sign,Song of the Sign,Minor,"While in your presence, other player characters suffer -1 to Composure.
When another player character fails a Composure test by a margin of 1, roll a die. Even: discard.",,,Shock
Song of the Sign,Whisper of the Sign,Major,"-2 to Composure; -1 to other Presence tests.
You may refresh any pool other than Composure by committing murder. 
Discard as recipient of an Inspiration or Reassurance Push, or by making a Steel Push.",Continuity,,Shock
Butterflies,Collywobbles,Minor,Discard at end of scene.,,,Shock
Collywobbles,Butterflies,Major,"-1 to Focus.
Discard by nullifying the consequences of a previous setback.",,,Shock
Humans are the True Monsters,Shattered Illusions,Minor,"-1 to Presence. 
Discard when you witness an act of redemptive altruism.",,,Shock
Shattered Illusions,Humans are the True Monsters,Major,"Take a Presence penalty equal to the number of Shock cards held by the PC (other than you) holding the highest number of Shock cards.
Discard when you witness an act of redemptive altruism.",Continuity,,Shock
A Touch of the Shakes,An Image Seared in the Mind,Minor,"-1 to Focus. 
Discard by engaging in a restful activity.",,,Shock
An Image Seared in the Mind,A Touch of the Shakes,Major,"-1 to Focus.
At the end of any interval, make a Difficulty 3 Composure test. Success: discard.
Becomes a Continuity card if in hand at end of scenario.",,,Shock
The Curse is Thinking About Being Cursed,Cursed,Minor,"+1 to Sense Trouble. Lose 1 Health on any character’s Sense Trouble success. 
Discard when the person who cursed you releases you from the curse or dies.",Continuity,,Shock
Cursed,The Curse is Thinking About Being Cursed,Major,"Discard when the person who cursed you releases you from the curse or dies. 
If still in hand at end of scenario, you inexplicably die.",,,Shock
A Gnawing at the Back of the Mind,The Will Erodes,Minor,"-1 to Composure. 
When you take another Shock card, spend 1 Composure to discard this one.",,,Shock
The Will Erodes,A Gnawing at the Back of the Mind,Major,"+1 to Tolls of supernatural creatures. 
When you take another Shock card, spend 1 Composure to discard this one.",,,Shock
Tremors,Hackles Raised,Minor,"Your next Interpersonal Push costs 2 Pushes. 
Discard when you make an Interpersonal Push.",,,Shock
Hackles Raised,Tremors,Major,"Pay 1 Health or Composure each time a player character (including you) attempts a Sense Trouble test.
Trade for “The Tremors” when your Health and Composure pools both equal 0.",,,Shock
Music of the Night,Point of No Return,Minor,"When you are about to fight the scenario’s main foe, roll a die. On an odd result, -1 to Fighting until end of scenario.
Discard on a Fighting success against the scenario’s main foe.",,,Shock
Point of No Return,Music of the Night,Major,"If you meet the scenario’s main foe, -1 to Fighting until end of scenario.
Discard on a Fighting success against the scenario’s main foe.",,,Shock
The Mind Reels,The Will Erodes,Major,+2 to Tolls of supernatural creatures. Discard when you destroy (or deliver to the reliable safekeeping of your allies) a copy of The King in Yellow.,Continuity,,Shock
Witness to Carnage,Existence is a Meat-Grinder,Minor,"-1 to all tests. 
Discard as recipient of a Push. Explain why that Push would help with this.",,,Shock
Existence is a Meat-Grinder,Witness to Carnage,Major,"Tests take a penalty equal to the number of Shock cards you have in hand. 
Discard after participating in an event that restores your faith in humanity.",Continuity,,Shock
Haunted,Rationality’s Cruel Veil,Minor,"Tests take a penalty equal to the number of Shock cards you have in hand. 
Discard on a successful test that aids the group against supernatural horror.",,,Shock
Rationality’s Cruel Veil,Haunted,Major,"All tests take a penalty equal to the number of Shock cards you have in hand, plus 1.",,,Shock
Stunned and Saddened,Waves of Grief,Minor,"Lose 1 Composure at the end of each scene in which the deceased is mentioned.
At end of session, if you have more Composure in your pool than any other player character, discard this card.",,,Shock
Waves of Grief,Stunned and Saddened,Major,"Whenever you regain lost Composure, subtract 1 from the number of points you would otherwise regain.
Discard by decisively defeating or countering the being or force that caused the death you mourn.",Continuity,,Shock
A Beastly Sight,If Only You Could Forget,Minor,"Tests take a penalty equal to the number of Shock cards you have in hand. 
Discard by killing or helping to kill the being, or another one like it.",,,Shock
If Only You Could Forget,A Beastly Sight,Major,"All tests take a penalty equal to the number of Shock cards you have in had, plus 1. 
Discard by killing or helping to kill the being, or another one like it.",,,Shock
"A Trick of the Light, Surely",No Mask! No Mask!,Minor,Discard on a successful test that furthers the anti-Carcosa cause.,,,Shock
No Mask! No Mask!,"A Trick of the Light, Surely",Major,"-1 to Composure tests when not in the presence of the supernatural. -2 when in the presence of the supernatural.
On a successful test that furthers the anti-Carcosa cause, trade for “A Trick of the Light, Surely.”",Continuity,,Shock
Must Have Been a Hallucination,Reality Collapse,Minor,"-1 to Sense Trouble. 
Discard when you uncover a core clue.",,,Shock
Reality Collapse,Must Have Been a Hallucination,Major,"-2 to Sense Trouble. Lose 1 Health each time you make a Push. 
Trade for “Must Have Been a Hallucination” on a success that restores normality to the world.",,,Shock
A Crossed Line,Out of Control,Minor,[[no card text]],Continuity,,Shock
Out of Control,A Crossed Line,Major,-1 to Composure to contain your emotions or resist destructive urges.,Continuity,,Shock
The Self Crumbles,The Mind Reels,Major,"+3 to Tolls of supernatural creatures.
Trade for “The Mind Reels” when you destroy (or deliver to the reliable safekeeping of your allies) a copy of The King in Yellow.",Continuity,,Shock
Moral Vertigo,The Self Crumbles,Major,"When you are in a position to kill an adversary in cold blood, score a Difficulty 4 Composure success or give in to that impulse.
+2 to Sense Trouble when the danger emanates from Carcosa or its minions. 
Trade for “The Self Crumbles” when you destroy (or deliver to the reliable safekeeping of your allies) a copy of The King in Yellow.",Continuity,,Shock
Alien Shores,Unearthly Journey,Minor,"-1 to all tests. 
Discard by succeeding at a test that harms the schemes of the King in Yellow or his minions.",Continuity,,Shock
Unearthly Journey,Alien Shores,Major,"-2 to all tests. 
Trade for “Alien Shores” by succeeding at a test that harms the schemes of the King in Yellow or his cat’s-paws. 
If still in hand at end of scenario, counts as 2 Shock cards and becomes a Continuity card.",,,Shock
"When You Look In the Mirror, the King Stares Back",No Mask! No Mask!,Major,"-1 to all tests. 
Lose 1 Push at the start of each scenario. 
At the start of a scenario, spend all your Composure points to trade for “No Mask! No Mask!”",Continuity,,Shock
They Broke You,Avenger,Minor,"When you see an act of torture or violent bullying, you must make a Difficulty 4 Composure test to do anything other than hunch over, frozen in panic.
Trade for “Avenger” by succeeding at the test and then taking decisive action against the perpetrator.",Continuity,,Shock
Avenger,They Broke You,Major,"When you see an act of torture or violent bullying, you must take decisive action against the perpetrator, or suffer -1 to Presence for the rest of the scenario.
When you take decisive action, roll a die. Even: discard.",Continuity,,Shock
Distracted,[Secondary],[Secondary],"-1 to Focus. 
After a Focus failure, spend 1 from the pool of any Focus ability to discard this card.",,,Shock
Visibly Distraught,[Secondary],[Secondary],"-1 to Presence. 
After a Presence failure, spend 1 point from the pool of any Presence ability to discard this card.",,,Shock
Do Not Go Forth Into the Agora,[Secondary],[Secondary],"Make a Difficulty 4 Sense Trouble test every time you enter a place you have never been before. On a failure, -1 to all tests while in that location.
Discard when you take an Injury card in a location you are very familiar with.",,,Shock
Weird Insight,[Secondary],[Secondary],"Spend 3 Composure to allow another player to discard a non-Continuity Shock card.
Each time you do this, roll a die. On an odd result, this becomes a Continuity card.",,,Shock
Knockout Dart,"Broken Bone
[Injury]",Major,"Unless your side routs the cannibals, you are captured and wake up in a basement veal-fattening pen. When the rest of the group rescues you from an appointment with a roasting spit, trade for Shock card “Humans are the True Monsters.”",,,Shock
Not a Significant Bullet,"Shot
[Injury]",Minor,"On your next test, roll a die and discard this card. Even result: +1 on test. Odd: -2 on test.",,,Shock
The Atavistic Terror of an Animal Attack,"Bitten 
[Injury]",Minor,"Lose 2 Health when you make a Push. If you can’t spend the points, you can’t make the Push.
Discard by establishing your mastery over this type of creature.",,,Shock
Brain Fever,Shown Your Own Horrific Death,Minor,"When you encounter the Sinister Mesmerist, -2 to Composure and -1 to Health until end of session.
Discard when Sinister Mesmerist is, beyond a shadow of a doubt, dead.",Continuity,,Shock
Shown Your Own Horrific Death,Brain Fever,Major,"-2 to Composure; -1 on all other tests. 
Discard when Sinister Mesmerist is, beyond a shadow of a doubt, dead.",Continuity,,Shock
Fed Upon,Thought Drain,Minor,"-1 to Composure. 
Discard on a Composure success.",,,Shock
Thought Drain,Fed Upon,Major,"-1 to any Presence test on which you spend ability points. 
If you gained this card while in Carcosa, discard when you leave it.",,,Shock
Intoxicating Bite,"Throat Punctures
[Injury]",Major,"Each time you attempt to act against the interest of the vampire who bit you, you must succeed at a Difficulty 6 Composure test to proceed. 
Trade for “Haunted” as recipient of an Occultism Push.",,,Shock
Enrapturing Bite,Vampiric Death Strike,Minor,"You can’t take part in fights against vampires and actively interfere with your comrades’ attempts to fight them. -2 Fighting for PCs against vampires in your presence. -2 to Composure to resist vampire commands.
Discard when the vampire that bit you is destroyed.",,,Shock
Vampiric Death Strike,Enrapturing Bite,Major,"Counts as 2 Injuries and 1 Shock. Vampire may choose to instead deliver an “Enrapturing Bite.” Discard after vampire is killed and you become recipient of a Difficulty 7 First Aid success. 
If still in hand at end of scenario, your character becomes an undead foe controlled by the GM and you create a new one.",,Combo,Shock
"Snakes, Our Oldest Fear","Venomous Fangs
[Injury]
",Minor,"Roll a die. Even: lose 1 Composure. Odd: lose 2 Composure.
Discard after a Composure success.",,,Shock
Keening of the Damned,Hellish Aria,Minor,"Whenever you hear music, or a loud or strange sound, -1 to Presence until the next interval.
Discard at end of any scenario, by spending 2 Composure.",Continuity,,Shock
Hellish Aria,Keening of the Damned,Major,"Whenever you hear music, or a loud or strange sound, this also becomes an Injury card, and remains so until the end of the next interval.
Discard whenever it is an Injury card by spending 3 Composure.",Continuity,,Shock
Dulled Thinking,Throbbing Migraine,Minor,"Non-lethal. -1 to Focus tests. 
Discard on a Focus failure.",,,Shock
Throbbing Migraine,Dulled Thinking,Major,"Non-lethal. -1 to Focus tests. 
On a Focus failure, spend 2 Health to discard.",,,Shock
Disbelief,Weird Weapon Trauma,Minor,"-1 to Focus tests. 
Discard on any Focus success.",,,Shock
Weird Weapon Trauma,Disbelief,Major,"-1 to Composure tests involving unearthly weapons.
Discard when you disassemble a captured weird weapon.",,,Shock
Bereft,Rudderless,Minor,"Before spending Morale to refresh another PC’s Composure, you must roll a die, getting an even result.
Discard as recipient of a 3-point Morale spend.
Use in: W, A",,,Shock
Rudderless,Bereft,Major,"PCs can spend Morale only after rolling a die and getting an even result.
Discard as recipient of a Leadership spend.",,,Shock
What th—?,World Gone Mad,Minor,"-1 to your next Presence test. 
Discard when a PC (yourself included) discards an Injury card taken in a fight in which your side was targeted by a weird weapon.",,,Shock
World Gone Mad,What th—?,Major,"-1 to Presence tests. 
Discard when a PC (yourself included) discards an Injury card taken in a fight in which your side was targeted by a weird weapon.",,,Shock
Profaned Memories,Haunted,Major,"When you mention or talk about your fallen comrade for the first time in any scene, make a Difficulty 4 Composure test. On a failure, this becomes a Continuity card.",,,Shock
Hollow Promise,Resounding Failure,Minor,"Your Morale pool drops to 0.
You can’t refresh Morale in mid-scenario or make Reassurance spends.
Discard by successfully protecting a civilian.",Continuity,,Shock
Resounding Failure,Hollow Promise,Major,"Your Morale pool drops to 0. Morale spends by other players do not refresh your Composure. You can’t make Reassurance spends.
When you successfully protect a civilian, roll a die. On an even result, discard.",Continuity,,Shock
Tenuous Reality,Life’s Value Ebbs,Minor,"-1 to Focus tests. 
When the discard condition of another Shock card occurs, you may discard this card instead.",,,Shock
Life’s Value Ebbs,Tenuous Reality,Major,"-2 to Composure tests. You may choose to take a +1 Fighting bonus when using a weird weapon, but that makes this a Continuity card.",,,Shock
Revulsion,Nightmare Fuel,Minor,"Lose 2 Morale.
Discard after three hours of world time, or when you gain another Shock card.",,,Shock
Nightmare Fuel,Revulsion,Major,"You can’t spend Morale points.
After six hours sleep (world time) in a safe location, roll a die. Discard on an even result.
Becomes a Continuity card if still held at end of scenario.",,,Shock
Lily-Livered,Yellow-Bellied,Minor,"Lose 2 Morale.
Discard on a salient Battlefield or Fighting success, refreshing 2 Morale.",,,Shock
Yellow-Bellied,Lily-Livered,Major,"Roll a die; lose that number of Morale points, or 2 Morale, whichever is higher.
Discard on a Fighting success with a margin greater than 1.",,,Shock
Flirtation with Carcosa,Embracing Carcosa,Minor,"-1 to Composure tests. 
Discard when a success saves you from taking a Shock card.",,,Shock
Embracing Carcosa,Flirtation with Carcosa,Major,Composure tests take a penalty equal to the number of Shock cards you hold.,,,Shock
Sinking Feeling,Panic,Minor,"Lose 1 Morale.
Discard by getting off the boat.",,,Shock
Panic,Sinking Feeling,Major,"Other PCs can’t spend Morale to refresh your Composure or Scrounging to refresh your Battlefield.
When the danger has passed, roll a die. Even: discard. Odd: trade for “Rattled.”",,,Shock
Those Telltale Fins,"Shark Bite
[Injury]",Minor,"-1 to Focus tests.
When you get to shore, roll a die. Even: discard. Odd: discard after two salient Focus failures.",,,Shock
Ghost Touch,The Vengeful Dead,Minor,"Lose 1 Composure each time one or more players breaks from the action to reference or discuss pop culture. 
Discard as recipient of a Difficulty 4 Morale test.",,,Shock
The Vengeful Dead,Ghost Touch,Major,"Lose 1 point from your lowest pool each time one or more players breaks from the action to reference or discuss pop culture. 
Discard after a ghost encounter that does not leave you with a Shock or Injury card.",,,Shock
Tastes Like Chicken,A Crossed Line,Minor,"-2 to Composure tests. 
At end of scenario, if your Composure is higher than 3, discard. Otherwise, trade for “A Crossed Line.”",,,Shock
A Crossed Line,Tastes Like Chicken,Major,[No card text],Continuity,,Shock
Callous,Pit of Remorse,Minor,"When you become the recipient of a Morale spend, lose 1 Composure.
Discard by taking a risk to help a GMC Loyalist soldier.",,,Shock
Pit of Remorse,Callous,Major,"When presented with an opportunity to save a wounded GMC Loyalist soldier from death or further harm, you must make a Difficulty 6 Composure test to avoid doing so.
When you do act and clearly save the character’s life, roll a die. Discard on an even result.",Continuity,,Shock
Rat in a Can,Panic,Both,"Lose 1 Composure and 1 Morale every 15 minutes (game time).
When the danger has passed, discard as recipient of a 1-point Scrounging spend.",,,Shock
Tentacled Doom,Rat in a Can,Major,"-1 to Presence tests while in sight of the ocean, -2 to Presence tests while underwater.
Does not count as a Shock card at the beginning of a scenario. Becomes a Shock card if you see the ocean or go underwater.",Continuity,,Shock
No Blood More Cold,Atrocity,Minor,"-2 to Composure tests.
During any scenario after the one where you gained this card, discard by spending 6 Composure.",Continuity,,Shock
Atrocity,No Blood More Cold,Major,"-2 to Composure tests.
At beginning of any scenario, spend 3 Composure and roll a die. On an even result, trade for “No Blood More Cold.”",Continuity,,Shock
Overwhelmed,Pervasive Distrust,Minor,"Before any test, roll a die. Odd: lose 1 point from the ability being tested.
Discard when you use an Investigative ability to get a core clue.",,,Shock
Pervasive Distrust,Overwhelmed,Major,"Lose 3 Composure each time another investigator makes an Interpersonal Push.
Discard by throwing a punch at a GMC who seems to be up to something.",,,Shock
Beside Yourself,Rattled,Minor,"-1 to tests. 
Discard on the next test you miss by 1.",,,Shock
Shell-Shocked,"Hit Bad
[Injury]",Minor,"-1 to Presence and Focus tests. 
After your next failed Presence or Focus test, you may discard as recipient of Difficulty 4 Morale test.",,,Shock
Hellish Reptile-Crab,Reality Drift,Minor,"You and all PCs who have seen the creature up close take -1 to Focus tests. Penalties from multiple “Hellish Reptile-Crab” cards do not stack.
On any failed Composure test, roll a die. Even: all “Hellish Reptile-Crab” cards in play are discarded.",,,Shock
Reality Drift,Hellish Reptile-Crab,Major,"When you score a success with a margin of 2, it instead becomes a failure with a margin of 2.
On a failure with a margin of 2, trade for “Unease.”",,,Shock
Ghost Sighting,The Mourned Dead,Minor,"-1 to Presence tests. 
Discard by spending a Push.",,,Shock
The Mourned Dead,Ghost Sighting,Major,-1 to Fighting and Composure tests.,,,Shock
Its Jellied Visage,You Saw the Tendrils Go In,Minor,"Any time another PC tries to use First Aid on you, make a Difficulty 4 Composure test. On a failure, you panic and punch your healer, giving that character the Injury card “Punched” and may then discard this card.",,,Shock
You Saw the Tendrils Go In,Its Jellied Visage,Major,"Any time another PC tries to use First Aid on you, make a Difficulty 4 Composure test. On a failure, you panic and punch your healer, giving that character the Injury card “Punched.” Then discard on a Difficulty 5 Composure success.",,,Shock
Did Anyone Else See That?,"You Saw It, So It Must Be Real",Minor,"-1 to Sense Trouble tests. 
Discard as recipient of Difficulty 4 Morale success.",,,Shock
"You Saw It, So It Must Be Real",Did Anyone Else See That?,Major,"-2 to Sense Trouble tests, -1 to Composure tests. 
Discard by spending 2 Sense Trouble and 1 Composure.",,,Shock
Faulty Perceptions,Distorted Perceptions,Minor,"-2 to Presence tests. You must behave as if the thing you’re seeing is absolutely, literally real. Discard by spending 2 Sense Trouble and 2 Composure, or on the conclusive defeat of the force that has confused your senses.",,,Shock
Distorted Perceptions,Faulty Perceptions,Major,"-2 to Presence tests. You must behave as if the thing you’re seeing is absolutely, literally real. 
Discard on the conclusive defeat of the force that has confused your senses.",,,Shock
"No, It Can’t Be!",I Remember Him Like He Was Real,Minor,"+1 to Sense Trouble tests.
When you fail a Sense Trouble test in the presence of one or more innocent GMCs, make a Difficulty 4 Composure test. Failure: you attack and seriously wound a GMC chosen by the GM, then discard this card.",,,Shock
I Remember Him Like He Was Real,"No, It Can’t Be!",Major,"You continue to behave as if the dead, impersonated comrade is alive, in your presence, and talking to you. Other PCs take -1 to Composure.
Discard when you pay a price for this behavior.",,,Shock
Cortisol Spike,"Bullet Wound
[Injury]",Minor,-1 to Composure tests. Discard at end of session.,,,Shock
Why Can’t I Just Shoot Him?,Probably I Should Shoot Him,Minor,"You recognize this false comrade as an alien being but can’t break its mental hold on you in order to act against it. 
Discard when a comrade attacks it, or when it departs.",,,Shock
Probably I Should Shoot Him,Why Can’t I Just Shoot Him?,Major,"Whenever you meet a Loyalist soldier for the first time, make a Difficulty 4 Composure test. Failure: -1 on all Focus and Presence tests until next interval. 
Discard when you get a margin of 3 or more on that test.",,,Shock
Hungry Like the…,Lycanthropy,Minor,"-1 on your next Focus test.
Discard by killing and eating a game animal, raw.",,,Shock
Lycanthropy,Hungry Like the…,Major,"-1 to Focus tests.
You believe that you will turn into a werewolf at the next full moon (three days from now unless the GM has already established a different date) and behave accordingly.
The morning after the next full moon, roll a die. Even: discard. Odd: trade for “Hungry Like the…”",Continuity,,Shock
Aide to the Beast,Cultist of Gévaudan,Minor,"You gain a new game statistic, Beast, which starts at 1. 
Add 1 to Beast each time you learn of the beast killing someone, and 2 each time you arrange for the beast to kill someone.
Subtract 1 from Beast when it performs a significant service for the Loyalists.
Take a penalty to Composure tests equal to your Beast rating.
Discard when the beast is destroyed.",Continuity,,Shock
Cultist of Gévaudan,Aide to the Beast,Major,"You gain a new game statistic, Beast, which starts at 1. 
Add 1 to Beast each time you learn of the beast killing someone, and 2 each time you arrange for the beast to kill someone.
Subtract 1 from Beast when it performs a significant service for the Loyalists.
While the beast is alive, take a penalty to Composure tests equal to your Beast rating.",Continuity,,Shock
Unearthly Sounds,Melted Perceptions,Minor,"-1 to Focus tests.
When you correctly identify the origin of the sounds, roll a die. Even: discard.",,,Shock
Melted Perceptions,Unearthly Sounds,Major,"Roll a die when you receive this card. Odd: -1 to Focus tests. Even: -1 to Presence tests.
Discard as recipient of Difficulty 4 First Aid success.",,,Shock
Forehead Vein,It Eats You Up,Minor,"+1 to Fighting tests.
After you take part in a fight and win, discard.",,,Shock
It Eats You Up,Forehead Vein,Major,"Discard by conclusively striking against an old foe. 
If still in hand at end of scenario, roll a die. Odd: becomes a Continuity card.",,,Shock
Pang of Doubt,Lines Get Muddy,Minor,"The next time the GM calls for a Composure test, roll a die first. Odd: -1 on your test. Even: discard.",,,Shock
Lines Get Muddy,Pang of Doubt,Major,"-1 to Focus and Presence tests.
Discard when you take an Injury card.",,,Shock
False Alarm,The Yips,Minor,"-1 to Sense Trouble tests; +1 to Composure tests.
On your next Composure failure, lose 1 Composure and discard this card.",,,Shock
The Yips,False Alarm,Major,"x = the result of a die roll, plus 1.
Lose x Composure.
Discard as recipient of an x-point Morale spend.",,,Shock
"Dammit, Man","Seriously, Dammit",Minor,"-1 to Focus tests.
Discard by paying a price to gain redemption.",,,Shock
"Seriously, Dammit","Dammit, Man",Major,"-2 to Focus tests.
Discard by doing something redemptive that hurts you politically.",,,Shock
Twinge,Spasm of Guilt,Minor,"-1 on Focus tests. 
After a failed Focus test, discard as recipient of 1-point Morale spend.",,,Shock
Spasm of Guilt,Twinge,Both,"-2 to Focus tests.
Discard by taking a risk to atone for your past.",,,Shock
Grim Flashback,You Know You Broke,Minor,"-1 to Morale tests.
Discard as recipient of a Difficulty 4 Morale success.",,,Shock
You Know You Broke,Grim Flashback,Major,"Roll a die: lose Morale equal to the result.
On a Fighting success, roll a die. Even: discard.",,,Shock
The Monster Inside,Spasm of Guilt,Major,Roll a die: lose Morale equal to the result.,,,Shock
Sullied,Expedience,Minor,"-1 to Presence tests for each Shock card you hold.
Spend 1 Morale and roll a die. Even: discard. Odd: trade for “A Diverting Indiscretion Will Put This in Perspective.”",,,Shock
Expedience,Sullied,Major,"-2 to Presence tests.
Discard by doing the right thing, even though it will hurt you politically.",,,Shock
Loyalty Chip (Intact),Loyalty Chip (Broken),Minor,"Discard by taking a risk to significantly aid an enemy.
As recipient of Difficulty 4 First Aid success, trade for “On the Mend.”",,,Shock
Loyalty Chip (Broken),Loyalty Chip (Intact),Major,"Discard by taking a risk to significantly aid an enemy.
As recipient of Difficulty 4 First Aid success, roll a die and gain the Injury card “Draggy.” Even: discard.",,,Shock
Tuner Dislocation,Tuner Habit,Minor,"At end of each interval, roll a die. Odd: lose 1 point from a Focus ability of your choice. Even: discard.",,,Shock
Tuner Habit,Tuner Dislocation,Major,"When you fight without using a tuner, make a Difficulty 4 Composure test. On a failure, also gain the Shock card “Distracted.”
When you have “Distracted” and fight with a tuner, roll a die. Even: discard this and “Distracted.”",,,Shock
Mental Probe,It Licked Your Mind,Minor,"Roll a die. Even: -1 to your next Focus test, then discard. Odd: -1 to your next Presence test, then discard.",,,Shock
It Licked Your Mind,Mental Probe,Major,"-1 to Focus and Presence tests. 
Discard when the parasite is destroyed.",,,Shock
Stolen Memory,Stolen Loyalty,Minor,"-1 to Focus tests. 
Discard when you destroy or help to destroy the being who did this to you.",,,Shock
Stolen Loyalty,Stolen Memory,Major,"When a GMC flashes the Yellow Sign at you, you must make a Difficulty 4 Composure test to avoid obeying that person’s simple commands (unless they are immediately self-destructive). 
Discard when you destroy or help to destroy the being who did this to you.",Continuity,,Shock
Soul Shook,Commandment from the Grave,Minor,"Lose 1 Health each time you make a Presence test. If your Health is 0, lose 1 Athletics.
Discard after scoring a Presence success with a margin of 3 or more.",,,Shock
Commandment from the Grave,Soul Shook,Major,"Effect comes into play when the shade gives you an order: if at the end of an interval you have taken no action to obey the shade, lose 1 Health, 1 Athletics, and 1 Fighting. 
Discard by fulfilling the order to the shade’s satisfaction.",,,Shock
Close Call,Edgy,Minor,Discard when you go for an entire interval without having to make a Composure test.,,,Shock
Edgy,Close Call,Both,"At the end of any interval, you may choose to roll a die and pay 1 Composure. Even: discard.",,,Shock
Susceptible,Ideological Capture,Minor,"Lose 1 Composure when exposed to images or ideas of the ideological tendency promoted by the original propaganda message. Loss limited to 1 point per scene.
After taking a risky action that furthers the propagandist’s objectives, you may discard on a Difficulty 4 Composure success.",,,Shock
Ideological Capture,Susceptible,Major,"When confronted by an opportunity to further the propagandist’s objectives, make a Difficulty 4 Composure test. Failure: you must take that action.
When the action has a negative result for you, your friends, or the investigation, you may spend a Push to roll a die. Even: discard. Odd: trade for “Susceptible.”",,,Shock
No Safe Place,Awful Association,Minor,"After returning to the place of horror, or entering another place like it, -1 to Focus tests for the next six hours (world time).
Discard by ending the menace that made the place unsafe.",,,Shock
Awful Association,No Safe Place,Major,"When you return to the place of horror, or enter another place like it, lose 1 Push and 3 Composure.
Discard by ending the menace that made the place unsafe.
Gains Continuity tag if still in hand at end of scenario.",,,Shock
Gun Shy,Under Fire,Minor,"-1 to Fighting tests.
Discard when you take part in the defeat of a foe armed with military weapons.",,,Shock
Under Fire,Gun Shy,Major,"-2 to Fighting tests.
Discard when you take part in the defeat of a foe armed with military weapons.",,,Shock
Harried,Overwhelmed,Minor,"Before any Composure test, roll a die. Odd: lose 1 Composure.
Discard on a failed Composure test.",,,Shock
Overwhelmed,Harried,Major,"Before any test, roll a die. Odd: lose 1 point from the ability being tested.
Discard when you use an Investigative ability to gain a core clue.",,,Shock
Homebound,Fortified,Minor,#NAME?,,,Shock
